timeframe,rank,candidate_start,candidate_end,similarity,candles,bullish_fraction,bearish_fraction,alternation_fraction,compression_fraction,expansion_fraction,upper_rejection_fraction,lower_rejection_fraction,mean_body_pct,mean_range_ratio,first_half_bullish,second_half_bullish,directional_shift,range_shift,body_shift,archetype,micro_behaviour
5m,23,2315,2334,0.32950854741948943,20,0.65,0.35,0.5789473684210527,0.4,0.3,0.35,0.25,0.5257390965414157,0.9973615953874029,0.6,0.7,0.09999999999999998,-0.20510127036250625,-0.32665496165614455,REJECTION_MIX,HIGH_ALTERNATION
5m,24,20074,20093,0.32945723866436916,20,0.55,0.45,0.631578947368421,0.35,0.45,0.35,0.25,0.5111181428423406,1.4014399114638947,0.5,0.6,0.09999999999999998,-0.6170613317100266,-0.04699660090439767,REJECTION_MIX,HIGH_ALTERNATION
5m,25,18360,18379,0.32945085309919186,20,0.55,0.45,0.631578947368421,0.5,0.25,0.3,0.35,0.49491999226039696,0.893479814751539,0.6,0.5,-0.09999999999999998,-0.33296527910639007,-0.10181401966237169,REJECTION_MIX,HIGH_ALTERNATION
15m,1,14991,15010,0.3768985653935664,20,0.7,0.3,0.5789473684210527,0.35,0.6,0.4,0.2,0.5304151264989493,1.5726422961090651,0.7,0.7,0.0,1.1573959446112507,0.009618068221250886,SIDEWAYS_TO_DIRECTIONAL,RANGE_EXPANSION
15m,2,2335,2354,0.37048035762095693,20,0.5,0.5,0.5789473684210527,0.35,0.35,0.35,0.35,0.43330448678784367,1.0848064409438396,0.4,0.6,0.19999999999999996,0.21673402598356883,-0.03178467838001742,EXPANSION_SEQUENCE,RANGE_EXPANSION
15m,3,15095,15114,0.36404172962291714,20,0.65,0.35,0.5263157894736842,0.45,0.15,0.2,0.4,0.40416474694788074,0.9872393383690348,0.7,0.6,-0.09999999999999998,0.33898802046178766,-0.026290494091968264,SIDEWAYS_TO_DIRECTIONAL,MIXED_MICRO_BEHAVIOUR
15m,4,5617,5636,0.35297808673113307,20,0.45,0.55,0.42105263157894735,0.4,0.35,0.45,0.25,0.4313560223301106,1.0987895708306714,0.4,0.5,0.09999999999999998,0.6537569719538922,0.022181064553612295,EXPANSION_SEQUENCE,RANGE_EXPANSION
15m,5,27274,27293,0.35007080784301187,20,0.75,0.25,0.3684210526315789,0.4,0.45,0.45,0.25,0.433060061841999,1.6149621516140507,0.8,0.7,-0.10000000000000009,1.7772767769694084,0.021459629108842915,EXPANSION_SEQUENCE,RANGE_EXPANSION
15m,6,12348,12367,0.3460577816936714,20,0.5,0.5,0.5263157894736842,0.5,0.25,0.1,0.4,0.5032185214403926,0.9650751419152375,0.6,0.4,-0.19999999999999996,0.03287690591237047,-0.1482918986498612,REJECTION_MIX,MIXED_MICRO_BEHAVIOUR
15m,7,22041,22060,0.34602206614787206,20,0.45,0.55,0.47368421052631576,0.45,0.25,0.4,0.35,0.4226835981040005,0.9580635754064593,0.7,0.2,-0.49999999999999994,0.14304939765375835,-0.11977375956005099,BULLISH_TO_BEARISH_SHIFT,DIRECTIONAL_COMPRESSION
15m,8,23384,23403,0.34213439589873607,20,0.5,0.5,0.5263157894736842,0.35,0.4,0.2,0.2,0.5696799664646446,1.096290073121109,0.5,0.5,0.0,0.3594055929132779,-0.010846464894645802,EXPANSION_SEQUENCE,RANGE_EXPANSION
15m,9,12605,12624,0.33985607951297886,20,0.5,0.5,0.5789473684210527,0.4,0.25,0.3,0.35,0.47777937685992306,1.0079023416086372,0.5,0.5,0.0,-0.07968184236546783,0.07406863540880809,REJECTION_MIX,HIGH_ALTERNATION
15m,10,18592,18611,0.33926839089900845,20,0.35,0.65,0.47368421052631576,0.3,0.45,0.45,0.4,0.4225851674600161,1.3173122618328295,0.5,0.2,-0.3,0.0343409233445251,-0.05971011256318404,REJECTION_MIX,REJECTION_BALANCE
15m,11,561,580,0.33908320353689336,20,0.4,0.6,0.5789473684210527,0.15,0.65,0.35,0.35,0.40692329509790814,1.4364522073217116,0.2,0.6,0.39999999999999997,-0.11399513501155734,-0.04120372912671172,REJECTION_MIX,HIGH_ALTERNATION
15m,12,10450,10469,0.3367689242114424,20,0.8,0.2,0.42105263157894735,0.1,0.65,0.5,0.05,0.47673090375758226,1.7100588799699719,0.9,0.7,-0.20000000000000007,0.4793646891360097,0.1670971502991494,EXPANSION_SEQUENCE,RANGE_EXPANSION
15m,13,12410,12429,0.3362532870106219,20,0.5,0.5,0.47368421052631576,0.3,0.3,0.25,0.35,0.4681330475408302,0.9950925764349456,0.3,0.7,0.39999999999999997,0.19356051778262295,0.037849582297130646,BEARISH_TO_BULLISH_SHIFT,BULLISH_SHIFT
15m,14,1066,1085,0.3358549550033493,20,0.5,0.5,0.47368421052631576,0.45,0.3,0.25,0.35,0.43839699265076765,1.0004388198722167,0.3,0.7,0.39999999999999997,0.48039021122113634,0.07047258994420619,BEARISH_TO_BULLISH_SHIFT,DIRECTIONAL_COMPRESSION
15m,15,17073,17092,0.3345119601501895,20,0.5,0.5,0.5263157894736842,0.2,0.6,0.35,0.6,0.31415113662713956,1.4054450838355987,0.5,0.5,0.0,0.14434732482799006,-0.029529866279324413,EXPANSION_SEQUENCE,RANGE_EXPANSION
15m,16,2271,2290,0.33312193927045874,20,0.55,0.45,0.5789473684210527,0.35,0.55,0.35,0.25,0.5084980110716579,1.2465380368600978,0.5,0.6,0.09999999999999998,0.11732655122879332,0.07356209265429181,EXPANSION_SEQUENCE,RANGE_EXPANSION
15m,17,6351,6370,0.33195486825373216,20,0.5,0.5,0.5789473684210527,0.25,0.45,0.5,0.3,0.40459434959618407,1.4551558983693467,0.6,0.4,-0.19999999999999996,0.8815730600608569,-0.13095005544574612,EXPANSION_SEQUENCE,RANGE_EXPANSION
