timeframe,pattern_code,count,mean_similarity,best_similarity
5m,BALANCED | STABLE | WICK_BALANCED | DIRECTION_BALANCED | HIGH_ALT | MID_BODY | RANGE_STABLE | CLOSE_MID,3,0.3320527437054364,0.3337767548077475
5m,BALANCED | COMPRESSING | WICK_BALANCED | DIRECTION_BALANCED | MID_ALT | MID_BODY | EXP_TO_COMPRESS | CLOSE_MID,3,0.331861009086095,0.3331451535416539
5m,BALANCED | STABLE | LOWER_WICK | DIRECTION_BALANCED | HIGH_ALT | MID_BODY | RANGE_STABLE | CLOSE_MID,2,0.3305206848824773,0.33055206331866166
5m,BULL_BIASED | STABLE | WICK_BALANCED | BULL_SHIFT | HIGH_ALT | MID_BODY | RANGE_STABLE | CLOSE_MID,1,0.3439495453366893,0.3439495453366893
5m,BALANCED | STABLE | UPPER_WICK | DIRECTION_BALANCED | HIGH_ALT | MID_BODY | RANGE_STABLE | CLOSE_MID,1,0.34254098835346464,0.34254098835346464
5m,BALANCED | EXPANDING | WICK_BALANCED | DIRECTION_BALANCED | MID_ALT | MID_BODY | RANGE_STABLE | CLOSE_MID,1,0.34240731157337173,0.34240731157337173
5m,BALANCED | STABLE | LOWER_WICK | BULL_SHIFT | HIGH_ALT | LARGE_BODY | RANGE_STABLE | CLOSE_MID,1,0.3367324550645847,0.3367324550645847
5m,BALANCED | COMPRESSING | UPPER_WICK | DIRECTION_BALANCED | HIGH_ALT | MID_BODY | EXP_TO_COMPRESS | CLOSE_MID,1,0.33631628590053014,0.33631628590053014
5m,BALANCED | EXPANDING | LOWER_WICK | DIRECTION_BALANCED | MID_ALT | MID_BODY | RANGE_STABLE | CLOSE_MID,1,0.3350253965947196,0.3350253965947196
5m,BALANCED | EXPANDING | WICK_BALANCED | BULL_SHIFT | MID_ALT | MID_BODY | COMP_TO_EXPAND | CLOSE_MID,1,0.3337584141505599,0.3337584141505599
5m,BALANCED | COMPRESSING | WICK_BALANCED | BEAR_SHIFT | MID_ALT | MID_BODY | EXP_TO_COMPRESS | CLOSE_MID,1,0.33324386389300414,0.33324386389300414
